,method,graph_type,planted_k,planted_gamma,bipartite,trial,num_true_positive,num_detected,num_total,time,method_params,detected_density,actual_density
7,densest_subgraph,,16,1.0,False,7,16,596,596,0.07250423431396484,,0.05727539337882804,1.0
8,densest_subgraph,,16,1.0,False,8,16,596,596,0.07220308383305868,,0.05731769217754216,1.0
9,densest_subgraph,,16,1.0,False,9,16,596,596,0.07452266613642375,,0.057289492978399414,1.0
0,densest_subgraph,,17,1.0,False,0,17,596,596,0.0918929656346639,,0.05734871129659918,1.0
1,densest_subgraph,,17,1.0,False,1,17,596,596,0.07059178352355958,,0.05733743161694208,1.0
2,densest_subgraph,,17,1.0,False,2,17,596,596,0.07177375157674154,,0.057371270655913374,1.0
3,densest_subgraph,,17,1.0,False,3,17,596,596,0.0734463373819987,,0.05738255033557047,1.0
4,densest_subgraph,,17,1.0,False,4,17,596,596,0.07950239976247152,,0.05734025153685635,1.0
5,densest_subgraph,,17,1.0,False,5,17,596,596,0.08597819805145264,,0.05735999097625628,1.0
6,densest_subgraph,,17,1.0,False,6,17,596,596,0.08847363392512003,,0.05738819017539902,1.0
7,densest_subgraph,,17,1.0,False,7,17,596,596,0.08945203224817912,,0.05738819017539902,1.0
8,densest_subgraph,,17,1.0,False,8,17,596,596,0.08416598637898763,,0.057365630816084826,1.0
9,densest_subgraph,,17,1.0,False,9,17,596,596,0.08104634682337443,,0.05737691049574192,1.0
0,densest_subgraph,,18,1.0,False,0,18,596,596,0.07569948434829712,,0.05747560769274153,1.0
1,densest_subgraph,,18,1.0,False,1,18,596,596,0.0720524787902832,,0.05746432801308443,1.0
2,densest_subgraph,,18,1.0,False,2,18,596,596,0.07573996782302857,,0.057492527212227175,1.0
3,densest_subgraph,,18,1.0,False,3,18,596,596,0.07260008653004964,,0.05746996785291298,1.0
4,densest_subgraph,,18,1.0,False,4,18,596,596,0.07453900178273519,,0.057455868253341605,1.0
5,densest_subgraph,,18,1.0,False,5,18,596,596,0.07420126597086589,,0.057498167052055724,1.0
