,method,graph_type,planted_k,planted_gamma,bipartite,trial,num_true_positive,num_detected,num_total,time,method_params,detected_density,actual_density
0,fraudar,B,20,1.0,True,0,20,93,596,0.0006303191184997559,,0.18024601697607917,1.0
1,fraudar,B,20,1.0,True,1,20,20,596,0.0005863507588704427,,1.0,1.0
2,fraudar,B,20,1.0,True,2,20,20,596,0.0006334861119588216,,1.0,1.0
3,fraudar,B,20,1.0,True,3,20,114,596,0.0005813320477803548,,0.14101977995184542,1.0
4,fraudar,B,20,1.0,True,4,20,116,596,0.0005782485008239746,,0.14585814173613018,1.0
5,fraudar,B,20,1.0,True,5,20,121,596,0.0006021340688069661,,0.14161620734536812,1.0
6,fraudar,B,20,1.0,True,6,20,20,596,0.000594631830851237,,1.0,1.0
7,fraudar,B,20,1.0,True,7,20,118,596,0.0005785504976908366,,0.13682301884549075,1.0
8,fraudar,B,20,1.0,True,8,20,21,596,0.0005899469057718912,,0.9643449419568823,1.0
9,fraudar,B,20,1.0,True,9,20,20,596,0.0006526827812194825,,1.0,1.0
0,fraudar,B,21,1.0,True,0,21,21,596,0.0006596128145853679,,1.0,1.0
1,fraudar,B,21,1.0,True,1,21,21,596,0.0006438453992207845,,1.0,1.0
2,fraudar,B,21,1.0,True,2,21,21,596,0.0006639361381530762,,1.0,1.0
3,fraudar,B,21,1.0,True,3,21,21,596,0.0006296475728352865,,1.0,1.0
4,fraudar,B,21,1.0,True,4,21,21,596,0.0005910038948059082,,1.0,1.0
5,fraudar,B,21,1.0,True,5,21,121,596,0.0005868037541707356,,0.13534217146733754,1.0
6,fraudar,B,21,1.0,True,6,21,21,596,0.0007197181383768718,,1.0,1.0
7,fraudar,B,21,1.0,True,7,21,21,596,0.0005986650784810384,,1.0,1.0
8,fraudar,B,21,1.0,True,8,21,21,596,0.0006033857663472493,,1.0,1.0
9,fraudar,B,21,1.0,True,9,21,21,596,0.0005875666936238607,,1.0,1.0
0,fraudar,B,22,1.0,True,0,22,22,596,0.0006651163101196289,,1.0,1.0
1,fraudar,B,22,1.0,True,1,22,22,596,0.0006576816240946452,,1.0,1.0
2,fraudar,B,22,1.0,True,2,22,104,596,0.0006359020868937174,,0.1752905527214146,1.0
3,fraudar,B,22,1.0,True,3,22,22,596,0.0006012519200642904,,1.0,1.0
4,fraudar,B,22,1.0,True,4,22,22,596,0.000606369972229004,,1.0,1.0
5,fraudar,B,22,1.0,True,5,22,22,596,0.000614933172861735,,1.0,1.0
6,fraudar,B,22,1.0,True,6,22,22,596,0.0006080309549967448,,1.0,1.0
7,fraudar,B,22,1.0,True,7,22,22,596,0.0005931178728739421,,1.0,1.0
8,fraudar,B,22,1.0,True,8,22,22,596,0.0005942622820536296,,1.0,1.0
9,fraudar,B,22,1.0,True,9,22,22,596,0.0005914688110351563,,1.0,1.0
0,fraudar,B,23,1.0,True,0,23,23,596,0.0006670514742533366,,1.0,1.0
